tokens,ner_tags
find the minimum rotation speed and measure the average power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the average system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the average torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the average tool wear.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the average air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the minimum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the minimum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the minimum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the minimum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the minimum tool wear.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the minimum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the maximum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the maximum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the maximum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the maximum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the maximum tool wear.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the maximum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the trend temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the trend power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the trend system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the trend torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the trend tool wear.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the trend air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the latest temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the latest power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the latest system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the latest torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum rotation speed and measure the latest tool wear.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum rotation speed and measure the latest air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum torque and calculate the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and calculate the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and calculate the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and calculate the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and calculate the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and calculate the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and calculate the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and determine the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and determine the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and determine the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and determine the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and determine the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and determine the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and find the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and find the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and find the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and find the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and find the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and find the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and show the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and show the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and show the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and show the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and show the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and show the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and identify the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and identify the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and identify the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and identify the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and identify the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and identify the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the average temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and measure the average power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the average system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the average rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the average tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the average air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the minimum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and measure the minimum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the minimum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the minimum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the minimum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the minimum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the maximum temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and measure the maximum power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the maximum system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the maximum rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the maximum tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the maximum air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the trend temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and measure the trend power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the trend system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the trend rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the trend tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the trend air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the latest temperature.,O O B-FUNC B-PARAM O O O B-FUNC O
find the minimum torque and measure the latest power consumption.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the latest system load.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the latest rotation speed.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the latest tool wear.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum torque and measure the latest air pressure.,O O B-FUNC B-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the average temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the average power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the average system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the average rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the average torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the average air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the minimum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the minimum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the minimum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the minimum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the minimum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the minimum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the maximum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the maximum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the maximum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the maximum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the maximum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the maximum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the trend temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the trend power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the trend system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the trend rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the trend torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the trend air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the latest temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the latest power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the latest system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the latest rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and calculate the latest torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and calculate the latest air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the average temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the average power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the average system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the average rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the average torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the average air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the minimum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the minimum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the minimum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the minimum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the minimum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the minimum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the maximum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the maximum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the maximum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the maximum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the maximum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the maximum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the trend temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the trend power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the trend system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the trend rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the trend torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the trend air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the latest temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the latest power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the latest system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the latest rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and determine the latest torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and determine the latest air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the average temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the average power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the average system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the average rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the average torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the average air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the minimum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the minimum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the minimum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the minimum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the minimum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the minimum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the maximum temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the maximum power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the maximum system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the maximum rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the maximum torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the maximum air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the trend temperature.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the trend power consumption.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the trend system load.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the trend rotation speed.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
find the minimum tool wear and find the trend torque.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O
find the minimum tool wear and find the trend air pressure.,O O B-FUNC B-PARAM I-PARAM O O O B-FUNC O O
