Prompt,Category
"Find the average air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Determine the average air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Show me the average air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Give me the average air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Provide the average air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"What is the maximum air_temperature, power_consumption and rotational_speed?","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Calculate the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Find the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Determine the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Show me the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Give me the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Provide the maximum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"What is the minimum air_temperature, power_consumption and rotational_speed?","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Calculate the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Find the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Determine the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Show me the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Give me the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Provide the minimum air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"What is the latest air_temperature, power_consumption and rotational_speed?","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Calculate the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Find the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Determine the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Show me the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Give me the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Provide the latest air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"What is the trend air_temperature, power_consumption and rotational_speed?","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Calculate the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Find the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Determine the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Show me the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Give me the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"Provide the trend air_temperature, power_consumption and rotational_speed.","multi_parameter_query: air_temperature, power_consumption, rotational_speed"
"What is the average air_temperature, power_consumption and system_load?","multi_parameter_query: air_temperature, power_consumption, system_load"
"Calculate the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Find the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Determine the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Show me the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Give me the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Provide the average air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"What is the maximum air_temperature, power_consumption and system_load?","multi_parameter_query: air_temperature, power_consumption, system_load"
"Calculate the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Find the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Determine the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Show me the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Give me the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Provide the maximum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"What is the minimum air_temperature, power_consumption and system_load?","multi_parameter_query: air_temperature, power_consumption, system_load"
"Calculate the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Find the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Determine the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Show me the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Give me the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Provide the minimum air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"What is the latest air_temperature, power_consumption and system_load?","multi_parameter_query: air_temperature, power_consumption, system_load"
"Calculate the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Find the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Determine the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Show me the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Give me the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Provide the latest air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"What is the trend air_temperature, power_consumption and system_load?","multi_parameter_query: air_temperature, power_consumption, system_load"
"Calculate the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Find the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Determine the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Show me the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Give me the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"Provide the trend air_temperature, power_consumption and system_load.","multi_parameter_query: air_temperature, power_consumption, system_load"
"What is the average air_temperature, power_consumption and torque?","multi_parameter_query: air_temperature, power_consumption, torque"
"Calculate the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Find the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Determine the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Show me the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Give me the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Provide the average air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"What is the maximum air_temperature, power_consumption and torque?","multi_parameter_query: air_temperature, power_consumption, torque"
"Calculate the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Find the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Determine the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Show me the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Give me the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Provide the maximum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"What is the minimum air_temperature, power_consumption and torque?","multi_parameter_query: air_temperature, power_consumption, torque"
"Calculate the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Find the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Determine the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Show me the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Give me the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Provide the minimum air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"What is the latest air_temperature, power_consumption and torque?","multi_parameter_query: air_temperature, power_consumption, torque"
"Calculate the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Find the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Determine the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Show me the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Give me the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Provide the latest air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"What is the trend air_temperature, power_consumption and torque?","multi_parameter_query: air_temperature, power_consumption, torque"
"Calculate the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Find the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Determine the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Show me the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Give me the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"Provide the trend air_temperature, power_consumption and torque.","multi_parameter_query: air_temperature, power_consumption, torque"
"What is the average air_temperature, power_consumption and tool_wear?","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Calculate the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Find the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Determine the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Show me the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Give me the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Provide the average air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"What is the maximum air_temperature, power_consumption and tool_wear?","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Calculate the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Find the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Determine the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Show me the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Give me the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Provide the maximum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"What is the minimum air_temperature, power_consumption and tool_wear?","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Calculate the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Find the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Determine the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Show me the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Give me the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Provide the minimum air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"What is the latest air_temperature, power_consumption and tool_wear?","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Calculate the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Find the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Determine the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Show me the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Give me the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Provide the latest air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"What is the trend air_temperature, power_consumption and tool_wear?","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Calculate the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Find the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Determine the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Show me the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Give me the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"Provide the trend air_temperature, power_consumption and tool_wear.","multi_parameter_query: air_temperature, power_consumption, tool_wear"
"What is the average air_temperature, process_temperature and rotational_speed?","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Calculate the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Find the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Determine the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Show me the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Give me the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Provide the average air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"What is the maximum air_temperature, process_temperature and rotational_speed?","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Calculate the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Find the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Determine the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Show me the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Give me the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Provide the maximum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"What is the minimum air_temperature, process_temperature and rotational_speed?","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Calculate the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Find the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Determine the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Show me the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Give me the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Provide the minimum air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"What is the latest air_temperature, process_temperature and rotational_speed?","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Calculate the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Find the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Determine the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Show me the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Give me the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Provide the latest air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"What is the trend air_temperature, process_temperature and rotational_speed?","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Calculate the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Find the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Determine the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Show me the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Give me the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"Provide the trend air_temperature, process_temperature and rotational_speed.","multi_parameter_query: air_temperature, process_temperature, rotational_speed"
"What is the average air_temperature, process_temperature and system_load?","multi_parameter_query: air_temperature, process_temperature, system_load"
"Calculate the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Find the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Determine the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Show me the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Give me the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Provide the average air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"What is the maximum air_temperature, process_temperature and system_load?","multi_parameter_query: air_temperature, process_temperature, system_load"
"Calculate the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Find the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Determine the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Show me the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Give me the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Provide the maximum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"What is the minimum air_temperature, process_temperature and system_load?","multi_parameter_query: air_temperature, process_temperature, system_load"
"Calculate the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Find the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Determine the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Show me the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Give me the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Provide the minimum air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"What is the latest air_temperature, process_temperature and system_load?","multi_parameter_query: air_temperature, process_temperature, system_load"
"Calculate the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Find the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Determine the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Show me the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Give me the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Provide the latest air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"What is the trend air_temperature, process_temperature and system_load?","multi_parameter_query: air_temperature, process_temperature, system_load"
"Calculate the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Find the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Determine the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Show me the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Give me the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"Provide the trend air_temperature, process_temperature and system_load.","multi_parameter_query: air_temperature, process_temperature, system_load"
"What is the average air_temperature, process_temperature and torque?","multi_parameter_query: air_temperature, process_temperature, torque"
"Calculate the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Find the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Determine the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Show me the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Give me the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Provide the average air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"What is the maximum air_temperature, process_temperature and torque?","multi_parameter_query: air_temperature, process_temperature, torque"
"Calculate the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Find the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Determine the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Show me the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Give me the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Provide the maximum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"What is the minimum air_temperature, process_temperature and torque?","multi_parameter_query: air_temperature, process_temperature, torque"
"Calculate the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Find the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Determine the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Show me the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Give me the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Provide the minimum air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"What is the latest air_temperature, process_temperature and torque?","multi_parameter_query: air_temperature, process_temperature, torque"
"Calculate the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Find the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Determine the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Show me the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Give me the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Provide the latest air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"What is the trend air_temperature, process_temperature and torque?","multi_parameter_query: air_temperature, process_temperature, torque"
"Calculate the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Find the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Determine the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Show me the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Give me the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"Provide the trend air_temperature, process_temperature and torque.","multi_parameter_query: air_temperature, process_temperature, torque"
"What is the average air_temperature, process_temperature and tool_wear?","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Calculate the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Find the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Determine the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Show me the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Give me the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Provide the average air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"What is the maximum air_temperature, process_temperature and tool_wear?","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Calculate the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Find the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Determine the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Show me the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Give me the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Provide the maximum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"What is the minimum air_temperature, process_temperature and tool_wear?","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Calculate the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Find the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Determine the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Show me the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Give me the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Provide the minimum air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"What is the latest air_temperature, process_temperature and tool_wear?","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Calculate the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Find the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Determine the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
"Show me the latest air_temperature, process_temperature and tool_wear.","multi_parameter_query: air_temperature, process_temperature, tool_wear"
